IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP19;IP_PROP20;IP_PROP21;IP_PROP22;IP_PROP23;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2
179;Штаны Полосатый Рейс;42;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-l;500;;Штаны Полосатый Рейс [4];177-77-02;purple;;L;/upload/iblock/a5c/moq4512kzh9qmx10cme6pql3t4camfr6.jpg;;;
179;Штаны Полосатый Рейс;42;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-l;500;;Штаны Полосатый Рейс [4];177-77-02;purple;;L;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;;
179;Штаны Полосатый Рейс;42;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-l;500;;Штаны Полосатый Рейс [4];177-77-02;purple;;L;/upload/iblock/815/f101djnvtbrmpltghmf1xiwkonpkifl8.jpg;;;
179;Штаны Полосатый Рейс;42;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-l;500;;Штаны Полосатый Рейс [4];177-77-02;purple;;L;/upload/iblock/968/i0m2douiknab0ikhq50qqw5fxgl47xbe.jpg;;;
179;Штаны Полосатый Рейс;42;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-l;500;;Штаны Полосатый Рейс [4];177-77-02;purple;;L;/upload/iblock/6b7/l3i45z3nb39xgxdz4fed1w6i2hcb27gh.jpg;;;
181;Штаны Полосатый Рейс;43;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xl;500;;Штаны Полосатый Рейс [4];177-77-04;purple;;XL;/upload/iblock/a5c/moq4512kzh9qmx10cme6pql3t4camfr6.jpg;;;
181;Штаны Полосатый Рейс;43;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xl;500;;Штаны Полосатый Рейс [4];177-77-04;purple;;XL;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;;
181;Штаны Полосатый Рейс;43;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xl;500;;Штаны Полосатый Рейс [4];177-77-04;purple;;XL;/upload/iblock/815/f101djnvtbrmpltghmf1xiwkonpkifl8.jpg;;;
181;Штаны Полосатый Рейс;43;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xl;500;;Штаны Полосатый Рейс [4];177-77-04;purple;;XL;/upload/iblock/968/i0m2douiknab0ikhq50qqw5fxgl47xbe.jpg;;;
181;Штаны Полосатый Рейс;43;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xl;500;;Штаны Полосатый Рейс [4];177-77-04;purple;;XL;/upload/iblock/6b7/l3i45z3nb39xgxdz4fed1w6i2hcb27gh.jpg;;;
182;Штаны Полосатый Рейс;44;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xs;500;;Штаны Полосатый Рейс [4];177-77-05;purple;;XS;/upload/iblock/a5c/moq4512kzh9qmx10cme6pql3t4camfr6.jpg;;;
182;Штаны Полосатый Рейс;44;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xs;500;;Штаны Полосатый Рейс [4];177-77-05;purple;;XS;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;;
182;Штаны Полосатый Рейс;44;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xs;500;;Штаны Полосатый Рейс [4];177-77-05;purple;;XS;/upload/iblock/815/f101djnvtbrmpltghmf1xiwkonpkifl8.jpg;;;
182;Штаны Полосатый Рейс;44;Y;;;;;text;/upload/iblock/98f/c915o1nqjqi1zbvpr37jbew2gz03l3s3.jpg;;text;pants-striped-flight-f-xs;500;;Штаны Полосатый Рейс [4];177-77-05;purple;;XS;/upload/iblock/968/i0m2douiknab0ikhq50qqw5fxgl47xbe.jpg;;;
